Livsmedelsnamn;Livsmedelsnummer;Energi (kcal);Energi (kJ);Kolhydrater (g);Fett (g);Protein (g);Fibrer (g);Vatten (g);Alkohol (g);Aska (g);Monosackarider (g);Disackarider (g);Sackaros (g);Fullkorn totalt (g);Sockerarter (g);Summa mättade fettsyror (g);Fettsyra 4:0-10:0 (g);Laurinsyra C12:0 (g);Myristinsyra C14:0 (g);Palmitinsyra C16:0 (g);Stearinsyra C18:0 (g);Arakidinsyra C20:0 (g);Summa enkelomättade fettsyror (g);Palmitoljesyra C16:1 (g);Oljesyra C18:1 (g);Summa fleromättade fettsyror (g);Linolsyra C18:2 (g);Linolensyra C18:3 (g);Arakidonsyra C20:4 (g);EPA (C20:5) (g);DPA (C22:5) (g);DHA (C22:6) (g);Kolesterol (mg);Retinol (µg);Vitamin A (RE);β-Karoten (µg);Vitamin D (µg);Vitamin E (mg);Vitamin K (µg);Tiamin (mg);Riboflavin (mg);Vitamin C (mg);Niacin (mg);Niacinekvivalenter (NE);Vitamin B6 (mg);Vitamin B12 (µg);Folat (µg);Fosfor (mg);Jod (µg);Järn (mg);Kalcium (mg);Kalium (mg);Koppar (mg);Magnesium (mg);Natrium (mg);Salt (g);Selen (µg);Zink (mg);Stärkelse (g);Avfall (skal etc.) (%)
Crème fraiche lätt fett 15%;1721;162;678;4,26;15;2,99;0;77,1;0;0,65;0;3,2;0;0;3,2;9,84;1,55;0,47;1,55;4,34;1,73;0,03;3,5;0,14;3,23;0,23;0,23;0,1;0;0;0;0;48;125,1;130,8;69;0,1;0,35;;0,04;0,13;0;0,06;0,75;0,04;0,23;9,6;78;10,1;0,05;99;139;;10;35;0,09;1,7;0,4;;0
Gräddersättning pulver fett 35%;1725;556;2328;54,9;35,5;4,8;0;2,2;0;2,6;0;54;0;0;54;32,72;2,83;13,7;6,04;3,78;6,37;0;0,98;0;0,98;0,01;0;0;0;0;0;0;0;0;10;120;0;0;;0;0,16;0;0;1,12;0;0;0;422;;1,2;22;812;;4;181;0,45;0;0,5;;0
Gräddfilssås m. kryddgrönt;1726;125;522;4,41;10,6;3,07;0,3;80,25;0;1,37;0,16;3;0,01;0;3,1;6,91;1,09;0,32;1,09;3,05;1,21;0,02;2,46;0,1;2,27;0,27;0,17;0,1;0;0;0;0;30,8;87,8;134,5;560;0,07;0,47;;0,05;0,15;10,4;0,23;0,92;0,06;0,21;18,8;81,3;37,4;0,35;121,5;192,5;;13,2;266,4;0,66;1,55;0,5;;0,4
Gräddfilssås fett 9%;1727;86;358;6,7;5,12;2,86;0,71;83,63;0;0,99;1,43;3,91;1,49;0;5,3;3,24;0,48;0,15;0,51;1,44;0,55;0,01;1,23;0,05;1,08;0,19;0,11;0,05;0;0,01;0;0,01;21,59;41,9;55,6;165;0,42;0,43;;0,04;0,12;5,2;0,15;0,79;0,05;0,3;11,4;73,3;;0,23;93,1;160;;13;158,1;0,4;0,92;0,52;;1,9
Gräddfilssås m. crème fraiche;1728;147;616;6,44;12,34;2,63;0,71;76,93;0;0,96;1,45;3,61;1,51;0;5;7,98;1,25;0,38;1,25;3,53;1,4;0,02;2,91;0,12;2,65;0,28;0,21;0,1;0;0,01;0;0,01;42,59;101,1;117,8;200;0,14;0,61;;0,04;0,11;5,2;0,13;0,71;0,05;0,28;11;64,8;;0,23;84,8;150;;12,1;157,1;0,39;1,46;0,4;;1,9
Rabarberkräm;1729;57;241;12,65;0,12;0,25;2,15;84,5;0;0,32;0,51;10,23;10,23;0;10,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,4;41;0;0,16;;0,01;0;1,6;0,13;0,18;0,01;0;15,6;13,3;0,8;0,12;9,1;66,4;;4,8;1,2;0,01;0;0,08;;5,7
Rabarbersoppa;1730;52;220;11,7;0,1;0,2;1,72;86,03;0;0,25;0,41;10,23;10,23;0;10,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,7;33;0;0,13;;0,01;0;1,3;0,1;0,14;0,01;0;12,5;10,3;0,9;0,1;8,3;53,1;;4;1,5;0,01;0;0,07;;4,5
Apelsinsoppa;1732;46;191;10,56;0,08;0,36;0,27;88,51;0;0,22;2,92;5,13;5,13;0;8,1;0,01;0;0;0;0,01;0;0;0,01;0;0,01;0,01;0,01;0,01;0;0;0;0;0;0;1;2;0;0,1;;0,06;0,02;22,1;0,2;0,26;0,04;0;11,6;9,1;1,1;0,16;9,8;84,2;;5,8;2;0,01;0,07;0;;5,8
Blåbärssoppa hemlagad;1734;47;198;10,39;0,26;0,22;0,99;88,03;0;0,1;1,88;6,09;6,09;0;8;0,01;0;0;0;0,01;0;0;0,03;0;0,03;0,17;0,07;0,09;0;0;0;0;0;0;2,7;31;0;0,03;;0,01;0,02;1;0,1;0,14;0,01;0;1,6;7,6;1,7;0,19;10,7;17,8;;3,6;2,6;0,01;0;0,06;;0,6
Svartvinbärskräm;1740;71;299;15,09;0,44;0,45;2,31;81,41;0;0,31;2,55;7,57;7,57;0;10,1;0,08;0;0;0;0,06;0,01;0;0,03;0;0,02;0,23;0,13;0,07;0;0;0;0;0;0;2,8;34;0;0,47;;0;0;19,6;0,09;0,17;0,04;0;3,4;26,6;1,7;0,22;26,2;74,5;;8,6;2,2;0,01;0;0,1;;0,7
Äppelkompott;1741;65;271;14,96;0,04;0;1,9;82,96;0;0,19;5,36;9,09;9,09;0;14,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,6;18;0;0,26;;0,01;0;1,6;0,1;0,1;0,02;0;1,2;5,6;0,5;0,07;4;30,5;;3,3;0,8;0;0;0,02;;6,5
Äppelkräm;1742;60;251;13,86;0,04;0;1,73;84,24;0;0,18;4,88;7;7;0;11,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,5;16;0;0,24;;0,01;0;1,4;0,09;0,09;0,02;0;1,1;6,2;0,7;0,07;4,3;28,6;;3,1;1;0;0;0,02;;6
Äppelsoppa;1743;49;203;11,21;0,04;0;1,4;87,24;0;0,14;3,95;5,66;5,66;0;9,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,2;13;0;0,19;;0;0;1,2;0,07;0,08;0,02;0;0,9;5;0,8;0,05;4,4;23,3;;2,7;1,3;0,01;0;0,02;;4,8
Kräm m. bär el. frukt;1744;64;266;14,44;0,15;0,24;1,36;83,62;0;0,19;2,25;8,98;8,98;0;11,2;0,01;0;0;0;0,01;0;0;0,01;0;0,01;0,07;0,03;0,03;0;0;0;0;0;0;4,8;57;0;0,21;;0,01;0,01;3,3;0,14;0,18;0,02;0;6,2;10,6;1,2;0,16;10;39,1;;5,2;1,8;0,01;0,02;0,06;;2,6
Pajfyllning bär m. socker;1745;107;449;23,5;0,43;0,78;2,56;72,39;0;0,36;6,65;13,24;13,24;0;19,9;0,03;0;0;0;0,02;0;0;0,05;0;0,05;0,25;0,12;0,12;0;0;0;0;0;0;7,8;87;0;0,51;;0,03;0,04;11,2;0,32;0,45;0,06;0;15,6;22,2;1,1;0,41;21,9;131,3;;11;1,9;0;0;0,15;;3,3
Saftkräm;1746;116;483;28,38;0,02;0;0;71,49;0;0,11;10,7;12,86;12,86;0;23,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0,09;0,1;0;0;0,4;6,5;1,7;0,05;6,7;45,1;;3,3;8,6;0,03;0;0,01;;0
Saftsoppa;1747;86;360;21,14;0,01;0;0;78,77;0;0,08;8,6;10,33;10,33;0;18,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0,07;0,08;0;0;0,3;3,9;1,5;0,04;6,3;35,5;;2,8;7,4;0,02;0;0,01;;0
Saftsås;1748;117;490;28,79;0,02;0;0;71,08;0;0,11;11,56;13,89;13,89;0;25,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0,1;0,11;0;0;0,4;5,5;1,6;0,05;6,7;47,7;;3,4;9,1;0,03;0;0,01;;0
Fruktdryck blåbär berikad;1749;48;199;10,6;0,1;0,75;0,25;88,2;0;0,1;1,1;8,5;8,5;0;9,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,9;76;0;0,41;1,2;0;0;45,8;0,07;0,2;0;0;1,2;5,9;1,2;0,07;14,7;41,6;0,01;5;10,9;0,03;0;0,04;1;0
Fruktsoppa pastöriserad ätf. blandad torkad frukt berikad;1750;54;226;12,9;0;0,2;0,4;86;0;0,5;4,3;6,7;6,7;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;300;0;0,06;;0,01;0,02;20;0,16;0,19;0,02;0;1,5;11;10,2;;13;24;;4,6;5;0,01;0,1;0,1;;0
Nyponsoppa ätf. pastöriserad el. pulver berikad ;1751;52;217;12,1;0,1;0,2;0,5;87;0;0,1;0,4;9,1;9,1;0;9,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,7;128;0;0,1;;0,01;0,02;28;0,1;0,13;0,01;0;0,5;7;0,9;0,1;15;28;;6,1;9;0,02;0,1;0;;0
Nyponsoppa ätf. pulver osötad berikad;1752;20;83;4,3;0,1;0,2;0,3;95;0;0,1;0,8;0;0;0;0,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;120;0;0,1;;0,01;0,02;24;0,1;0,13;0,01;0;0,1;7;;0,1;13;28;;4;9;0,02;0;0;;0
Mjuk kaka m. katrinplommon;1758;171;718;24,25;5,18;5,38;2,88;59,33;0;2,92;13,38;6,67;4,65;0;20,1;1,13;0,05;0,02;0,08;0,73;0,23;0;2,65;0,07;2,57;0,91;0,84;0,03;0,02;0;0;0,02;57,67;43,8;51,4;76;0,65;2,62;;0,04;0,16;0,7;1,23;2,4;0,04;0,45;14,4;128,7;12,5;0,97;98,1;408,8;;33,9;40,6;0,1;4,33;0,7;;
Kalvdans m. mjölkpulver ägg;1759;120;503;13,01;3,5;8,96;0;72,55;0;1,91;0,04;12,92;2,27;0;13;1,85;0,18;0,08;0,26;0,96;0,32;0,01;1,04;0,07;0,93;0,21;0,16;0,03;0,01;0;0;0,01;47,56;46,2;47,8;17;0,94;0,67;;0,07;0,35;0,5;0,18;2,31;0,06;1,19;16,1;230,7;41,1;0,24;269,7;382,8;;24,8;174;0,44;5,06;1,03;;
Ostkaka m. cottage cheese;1760;172;719;10,5;9,73;10,09;1,18;67,4;0;1,03;0,12;8,56;6,41;0;8,7;4;0,39;0,17;0,56;2,08;0,66;0,01;3,85;0,15;3,62;1,05;0,95;0,05;0,02;0;0;0,01;63,41;79,6;82,5;35;0,43;2,35;;0,03;0,19;0,2;0,32;2,61;0,03;0,58;19;151,8;11,5;0,45;82,8;152,2;0,08;23,3;151,4;0,38;3,8;0,63;;
Marängsviss hovdessert;1761;354;1482;37,39;19,97;4,5;3,88;33,15;0;1,1;0,09;36,54;35,6;0;36,6;10,13;1,01;0,45;1,45;4,98;1,95;0,04;6,97;0,31;6,48;1,38;1,26;0,09;0,01;0;0,01;0;39,76;119,8;128,7;107;0,03;2,57;;0,03;0,14;0,1;0,54;1,33;0,02;0,13;8,7;125,1;7,2;1,02;66,9;285,3;;62,2;57,7;0,15;4,86;0,84;;5,2
Brylépudding;1762;129;539;19,64;3,27;4,93;0;71,31;0;0,74;0,09;19,66;16,85;0;19,8;1,24;0,07;0,03;0,11;0,75;0,25;0;1,18;0,08;1,08;0,37;0,27;0,03;0,03;0;0;0,02;83,47;63,2;63,9;7;0,92;1,33;;0,04;0,17;0,3;0,04;1,25;0,04;0,63;18,3;103,2;21,6;0,41;83,4;125,4;;9,2;93,7;0,24;6,24;0,56;;
Vaniljsås m. mellanmjölk matlagningsgrädde vispgrädde hemlagad;1763;192;804;11,77;14,6;3,75;0,03;69,2;0;0,65;0;10,2;6,6;0;10,2;8,94;1,13;0,46;1,38;4,03;1,53;0,03;4;0,23;3,5;0,76;0,44;0,08;0,04;0;0;0;114,6;47,9;49,5;19;0,28;1,21;;0,04;0,18;0;0,1;0,97;0,05;0,41;28,6;101;;0,41;61;120;;12,5;47;0,12;5,7;0,73;;0
Chokladpudding;1764;125;524;19,11;2,92;4,8;1,24;70,9;0;1,04;0,02;13,05;8,48;0;13,1;1,62;0,12;0,05;0,17;0,79;0,45;0,01;0,85;0,04;0,78;0,13;0,1;0,01;0,01;0;0;0;22,75;25,4;26,5;13;1,1;0,33;;0,05;0,15;0,6;0,14;1,22;0,04;0,58;15,7;131,3;13,5;0,51;121,6;242,4;0,04;30;46;0,12;2,65;0,72;;
Chokladpudding m. vispad grädde fett 40%;1765;171;717;16,13;9,78;4,3;1,01;67,84;0;0,94;0,02;11,13;6,91;0;11,2;6,06;0,64;0,28;0,91;2,95;1,11;0,02;2,54;0,19;2,24;0,28;0,19;0,06;0,01;0;0,01;0;39,7;84,5;90;66;0,91;0,45;;0,04;0,14;0,5;0,12;1,08;0,04;0,54;14,4;118,6;12,4;0,42;112,9;216;0,03;25,7;41,9;0,11;2,4;0,64;;
Chokladmousse;1766;297;1244;28,67;17,76;5,8;0,06;46,61;0;0,91;1,11;21,82;21,79;0;22,9;9,86;0,62;0,22;0,7;4,47;3,5;0,09;5,39;0,2;5,08;1,16;0,96;0,1;0,05;0;0;0,03;122,55;120,2;124,3;40;1,15;2,06;;0,05;0,16;9,7;0,24;1,51;0,07;0,44;36,5;;13,6;2,91;34;201,1;;42,3;80,7;0,2;7,83;1;;
Fromage apelsin el. citron hemlagad;1767;276;1154;18,15;20,4;5,31;0,04;55,5;0;0,48;0,57;16,62;15,4;0;17,2;12,23;1,32;0,59;1,9;6,08;1,98;0,04;5,44;0,43;4,77;0,77;0,53;0,14;0,05;0;0,02;0,02;129,12;209,4;221,7;148;0,88;1,76;;0,04;0,15;8;0,06;1,26;0,04;0,5;27,4;;13;0,42;48,8;100,7;;8;44;0,11;5,9;0,45;;2,7
Glassås choklad hemlagad;1768;249;1042;44,81;4,11;4,49;6,49;38,47;0;1,63;0;42,96;42,96;0;43;2,41;0;0;0;1,02;1,35;0,03;1,36;0;1,36;0,12;0,12;0;0;0;0;0;0;0;0,6;8;0;0,08;;0,01;0,02;0;0,4;1,15;0,01;0;4,3;126,2;12,5;2,1;22,7;434;;99,7;102,6;0,26;0,19;1,32;;0
Glassås kolasås;1769;307;1287;28,42;20,72;2,19;0;47,89;0;0,76;8,16;20,28;17,34;0;28,4;13,36;1,59;0,67;2,17;6,42;2,07;0,04;5,12;0,42;4,44;0,53;0,35;0,13;0,02;0;0,02;0;60,64;174,2;186,1;144;0,32;0,53;;0,03;0,09;0,4;0,04;0,55;0,02;0,35;7,2;64,6;7,6;0,08;78;108,6;0,05;7,4;124,3;0,31;1,32;0,29;;
Vaniljpudding;1770;153;643;15,96;8,35;3,66;0,01;71,36;0;0,67;0;15,99;11,97;0;16;5,35;0,61;0,27;0,87;2,6;0,84;0,02;2,08;0,17;1,81;0,2;0,13;0,05;0,01;0;0,01;0;25,17;72;77,2;62;0,74;0,21;;0,03;0,12;0,7;0,06;0,87;0,03;0,44;6,1;86,9;10,1;0,02;102,7;137,4;;9,6;33,7;0,08;1,42;0,37;;
Vaniljsås m. grädde mjölk;1771;317;1327;10,43;29,53;3,32;0;55,81;0;0,68;0,02;8,89;5,66;0;8,9;18,31;2,03;0,9;2,91;8,99;2,93;0,06;7,62;0,62;6,66;0,91;0,6;0,2;0,05;0;0,03;0,02;136,37;280,1;297,3;206;0,73;1,66;;0,04;0,13;0,4;0,05;0,82;0,04;0,57;21,7;102,8;12,8;0,21;93,8;121,1;0,01;8,7;31,4;0,08;4,65;0,52;;
Ostkaka fett 9%;1772;183;766;15,8;8,8;10,1;0;64;0;1,3;0;16;13;0;16;5,7;0,75;0,28;0,92;2,52;0,98;0,02;2,27;0,13;1,98;0,23;0,17;0,05;0,01;0;0;0;41;110;113,3;40;0,06;0,84;;0,1;0,27;0;0,2;2,56;0,07;0,5;12;220;;1;255;157;;20,5;54;0,14;1;1,4;;0
Ostkaka lätt osötad fett 3%;1773;111;464;8,6;3;12;0,4;74,7;0;1,3;0;8;0;0;8;1,94;0,26;0,1;0,31;0,86;0,33;0,01;0,77;0,05;0,68;0,08;0,06;0,02;0;0;0;0;41;55;58,3;40;0,27;0,84;;0,1;0,27;0;0,2;3;0,07;0,5;12;50;;1;430;157;;20,5;54;0,14;1;1,4;;0
Fromage citron;1775;173;723;16,2;11;2,4;0;69,9;0;0,5;0;13,6;13;0;13,6;7,3;1,09;0,36;1,12;3,18;1,25;0,09;2,78;0,23;2,36;0,31;0,25;0,05;0;0;0;0;38;85;88,2;39;0,08;0,27;;0,01;0,04;0;0,03;0,63;0,01;0,1;1,1;17,8;12;0;17,5;26;;1,9;8,2;0,02;0,6;0,1;;0
Vaniljsås m. havre fett 11%;1776;162;676;14,5;11;0,9;0,9;72,5;0;0,2;0;12,2;9,7;0;12,2;3,6;0;0,02;0,06;2,7;0,5;0;5,4;0,01;5;2;1,5;0,4;0,05;0,5;0;0;0;0;39,2;470;0;0,08;;0,05;0;0;0,05;0,2;0;0;1;17;;0;6;34;;3;66;0,17;1;0,1;;0
Vaniljsås tillagad pulver m. mjölk;1777;106;445;16,06;3,24;3,06;0,04;76,9;0;0,71;0;11,9;7,3;0;11,9;2,04;0,26;0,21;0,32;0,8;0,36;0,01;0,86;0,04;0,77;0,13;0,06;0,02;0;0;0;0;16;29,4;31;19;0;0,13;;0,04;0,57;0;0,1;0,82;0,05;0,3;15,9;82,7;;0,07;88;150;;12,5;63;0,16;1,75;0,47;;0
